Time,Object,Event
214.3751868939433,ship.11,loaded 56 containers as cargo in Amsterdam
215.583710365178,ship.17,loaded 62 containers as cargo in Rotterdam
216.03954925474176,ship.20,loaded 99 containers as cargo in Neuss
216.2075226198015,Rotterdam,"Warning deactivated in Rotterdam, 65 batteries available"
216.6251868939433,ship.11,Ship has loaded 45 batteries from Amsterdam
216.6251868939433,Amsterdam,Amsterdam has 60 batteries left.
216.833710365178,ship.17,Ship has loaded 25 batteries from Rotterdam
216.833710365178,Rotterdam,Rotterdam has 40 batteries left.
218.28954925474176,ship.20,Ship has loaded 45 batteries from Neuss
218.28954925474176,Neuss,Neuss has 55 batteries left.
218.78205848389052,ship.16,loaded 56 containers as cargo in Antwerp
218.86307817535703,ship.18,loaded 74 containers as cargo in Rotterdam
219.15070942755713,ship.15,loaded 72 containers as cargo in Dordrecht
219.98342980428743,ship.1,loaded 72 containers as cargo in Amsterdam
220.03205848389052,ship.16,Ship has loaded 25 batteries from Antwerp
220.03205848389052,Antwerp,Antwerp has 75 batteries left.
220.11307817535703,ship.18,Ship has loaded 25 batteries from Rotterdam
220.11307817535703,Rotterdam,Rotterdam has 15 batteries left.
220.11307817535703,Rotterdam,"Warning activated in Rotterdam, only 15 batteries left"
220.40070942755713,ship.15,Ship has loaded 25 batteries from Dordrecht
220.40070942755713,Dordrecht,Dordrecht has 100 batteries left.
220.4290558390128,ship.10,loaded 71 containers as cargo in Antwerp
220.818862181223,ship.21,loaded 91 containers as cargo in Antwerp
221.23342980428743,ship.1,Ship has loaded 25 batteries from Amsterdam
221.23342980428743,Amsterdam,Amsterdam has 35 batteries left.
222.6790558390128,ship.10,Ship has loaded 45 batteries from Antwerp
222.6790558390128,Antwerp,Antwerp has 30 batteries left.
223.068862181223,ship.21,Ship has loaded 45 batteries from Antwerp
223.068862181223,Antwerp,Antwerp has -15 batteries left.
223.068862181223,Antwerp,"Warning activated in Antwerp, only -15 batteries left"
225.94799993768197,ship.7,loaded 55 containers as cargo in Louviere
227.19799993768197,ship.7,Ship has loaded 25 batteries from Louviere
227.19799993768197,Louviere,Louviere has 100 batteries left.
228.00852022727662,Rotterdam,"Warning deactivated in Rotterdam, 60 batteries available"
228.16640356877232,ship.22,loaded 63 containers as cargo in Rotterdam
229.41640356877232,ship.22,Ship has loaded 25 batteries from Rotterdam
229.41640356877232,Rotterdam,Rotterdam has 35 batteries left.
230.1751868939433,ship.11,loaded 70 containers as cargo in Rotterdam
231.4487251505572,ship.16,loaded 50 containers as cargo in Dordrecht
232.6987251505572,ship.16,Ship has loaded 25 batteries from Dordrecht
232.6987251505572,Dordrecht,Dordrecht has 100 batteries left.
234.53404276089046,ship.15,loaded 79 containers as cargo in Amsterdam
235.78404276089046,ship.15,Ship has loaded 25 batteries from Amsterdam
235.78404276089046,Amsterdam,Amsterdam has 65 batteries left.
236.60083311461682,ship.4,loaded 95 containers as cargo in Amsterdam
237.7955568433233,ship.8,loaded 99 containers as cargo in Moerdijk
238.85083311461682,ship.4,Ship has loaded 45 batteries from Amsterdam
238.85083311461682,Amsterdam,Amsterdam has 20 batteries left.
238.85083311461682,Amsterdam,"Warning activated in Amsterdam, only 20 batteries left"
239.883070235439,ship.22,loaded 64 containers as cargo in Moerdijk
240.0455568433233,ship.8,Ship has loaded 45 batteries from Moerdijk
240.0455568433233,Moerdijk,Moerdijk has 60 batteries left.
242.133070235439,ship.22,Ship has loaded 45 batteries from Moerdijk
242.133070235439,Moerdijk,Moerdijk has 15 batteries left.
242.133070235439,Moerdijk,"Warning activated in Moerdijk, only 15 batteries left"
243.66597236785668,ship.23,loaded 96 containers as cargo in Amsterdam
246.1018306414864,ship.13,loaded 72 containers as cargo in Strasbourg
246.4251868939433,ship.11,Ship has loaded 45 batteries from Rotterdam
246.4251868939433,Rotterdam,Rotterdam has 35 batteries left.
246.69555950200737,Amsterdam,"Warning deactivated in Amsterdam, 45 batteries available"
246.91597236785668,ship.23,Ship has loaded 25 batteries from Amsterdam
246.91597236785668,Amsterdam,Amsterdam has 20 batteries left.
246.91597236785668,Amsterdam,"Warning activated in Amsterdam, only 20 batteries left"
247.96541293861532,ship.12,loaded 76 containers as cargo in Rotterdam
248.01222616867403,ship.3,loaded 53 containers as cargo in Amsterdam
248.3518306414864,ship.13,Ship has loaded 45 batteries from Strasbourg
248.3518306414864,Strasbourg,Strasbourg has 74 batteries left.
249.81238917234614,Duisburg,"Warning deactivated in Duisburg, 55 batteries available"
251.35066686183214,ship.9,Ship has loaded 45 batteries from Duisburg
251.35066686183214,Duisburg,Duisburg has 10 batteries left.
251.35066686183214,Duisburg,"Warning activated in Duisburg, only 10 batteries left"
251.59799993768198,Amsterdam,"Warning deactivated in Amsterdam, 45 batteries available"
251.9290558390128,ship.10,loaded 69 containers as cargo in Duisburg
253.66933711273376,ship.24,loaded 81 containers as cargo in Rotterdam
253.84799993768198,ship.7,loaded 81 containers as cargo in Amsterdam
