Time,Object,Event
222.7996171557995,ship.21,Ship has loaded 25 batteries from Rotterdam
222.7996171557995,Rotterdam,Rotterdam has 27 batteries left.
222.7996171557995,Rotterdam,"Warning deactivated in Rotterdam, 27 batteries available"
222.939782792784,ship.4,Ship has loaded 25 batteries from Rotterdam
222.939782792784,Rotterdam,Rotterdam has 45 batteries left.
223.6798249820459,ship.12,Ship has loaded 25 batteries from Antwerp
223.6798249820459,Antwerp,Antwerp has 69 batteries left.
223.6798249820459,Antwerp,"Warning deactivated in Antwerp, 69 batteries available"
223.75462116915318,ship.0,Ship has loaded 45 batteries from Rotterdam
223.75462116915318,Rotterdam,Rotterdam has 0 batteries left.
223.75462116915318,Rotterdam,"Warning activated in Rotterdam, only 0 batteries left"
223.98137390409116,ship.14,Ship has loaded 25 batteries from Antwerp
223.98137390409116,Antwerp,Antwerp has 44 batteries left.
224.52313465988897,ship.22,loaded 61 containers as cargo in Rotterdam
224.82582393183446,ship.10,loaded 68 containers as cargo in Rotterdam
225.0369229131148,ship.5,loaded 76 containers as cargo in Amsterdam
225.35526265513278,ship.20,loaded 65 containers as cargo in Antwerp
226.1350013037016,ship.8,loaded 54 containers as cargo in Sittard
227.1409221885003,ship.6,loaded 97 containers as cargo in Antwerp
227.25895488582884,ship.7,loaded 88 containers as cargo in Rotterdam
227.3850013037016,ship.8,Ship has loaded 25 batteries from Sittard
227.3850013037016,Sittard,Sittard has 93 batteries left.
227.77313465988897,ship.22,Ship has loaded 25 batteries from Rotterdam
227.77313465988897,Rotterdam,Rotterdam has 21 batteries left.
228.07582393183446,ship.10,Ship has loaded 25 batteries from Rotterdam
228.07582393183446,Rotterdam,Rotterdam has -4 batteries left.
228.87105211070354,Duisburg,"Warning deactivated in Duisburg, 35 batteries available"
229.50895488582884,ship.7,Ship has loaded 45 batteries from Rotterdam
229.50895488582884,Rotterdam,Rotterdam has -49 batteries left.
230.07660766625912,ship.3,loaded 61 containers as cargo in Duisburg
230.51241299986313,ship.17,loaded 82 containers as cargo in Rotterdam
232.6397472003162,ship.23,loaded 59 containers as cargo in Duisburg
233.8897472003162,ship.23,Ship has loaded 25 batteries from Duisburg
233.8897472003162,Duisburg,Duisburg has 10 batteries left.
233.8897472003162,Duisburg,"Warning activated in Duisburg, only 10 batteries left"
235.3909221885003,ship.6,Ship has loaded 45 batteries from Antwerp
235.3909221885003,Antwerp,Antwerp has 50 batteries left.
235.60526265513278,ship.20,Ship has loaded 45 batteries from Antwerp
235.60526265513278,Antwerp,Antwerp has 5 batteries left.
